WL,PC1,PC2,PC3,PC4
677,0.049931169,-0.131977011,-0.036085628,0.085599844
678,0.056951059,-0.150603815,-0.039986758,0.097934473
679,0.060108236,-0.158612654,-0.039330689,0.10380363
680,0.064520077,-0.170145483,-0.039248106,0.111737256
681,0.067296886,-0.177240411,-0.036970303,0.116682181
682,0.069756598,-0.183446406,-0.033403639,0.120803981
683,0.0715443,-0.187767518,-0.028065174,0.123494711
684,0.072837068,-0.190647594,-0.02139516,0.124592327
685,0.073341425,-0.191203596,-0.013272606,0.12351314
686,0.072860837,-0.188907179,-0.003954398,0.119827778
687,0.071377862,-0.183723566,0.005563786,0.11315311
688,0.068339214,-0.173886735,0.015634267,0.102972234
689,0.066937074,-0.168237963,0.024474946,0.093989749
690,0.065452026,-0.161794193,0.032919654,0.083535613
691,0.063802201,-0.154649978,0.040003561,0.07172977
692,0.061880911,-0.146363091,0.046066371,0.058882694
693,0.060622215,-0.139525735,0.050913907,0.046163935
694,0.059608179,-0.133071076,0.054156423,0.033091733
695,0.058529976,-0.126060925,0.056582876,0.0199706
696,0.058598979,-0.121620383,0.057928631,0.007127975
697,0.059602219,-0.11897893,0.058732546,-0.005773607
698,0.060137703,-0.114590239,0.059539142,-0.018340725
699,0.061017089,-0.110849015,0.059230417,-0.030752592
700,0.062409029,-0.10784861,0.058398582,-0.043157112
701,0.063088761,-0.102370176,0.059928586,-0.053548142
702,0.063722018,-0.096373987,0.06222363,-0.062634264
703,0.064888577,-0.091415424,0.063778983,-0.071580562
704,0.06698879,-0.088617881,0.06281488,-0.08162565
705,0.069001759,-0.085335217,0.062148077,-0.09072468
706,0.069940573,-0.079157692,0.065229531,-0.096195321
707,0.071367193,-0.073803844,0.06774139,-0.10171564
708,0.073258862,-0.068535193,0.071556455,-0.1067979
709,0.075452493,-0.062987139,0.077130673,-0.111031253
710,0.077914518,-0.058335166,0.079787931,-0.115891307
711,0.080598798,-0.054025872,0.081233289,-0.120775143
712,0.0833698,-0.0483087,0.086669854,-0.123649941
713,0.086089032,-0.042358141,0.091818338,-0.125649197
714,0.088766893,-0.037312855,0.092934533,-0.128073869
715,0.091802722,-0.032503283,0.093220259,-0.130568519
716,0.095177122,-0.026768473,0.096303961,-0.131688461
717,0.098487927,-0.020866369,0.09884514,-0.131875712
718,0.101445857,-0.015851552,0.09696834,-0.132132141
719,0.104311176,-0.010692277,0.094618531,-0.131422725
720,0.107172161,-0.004526644,0.095323534,-0.128564214
721,0.110214284,0.002572425,0.098548942,-0.123938369
722,0.113151806,0.00833118,0.096606626,-0.120191825
723,0.116171623,0.012929956,0.090328529,-0.117384728
724,0.119364462,0.017634688,0.084019687,-0.113849261
725,0.122319441,0.022521019,0.078026354,-0.109025293
726,0.125090392,0.027940318,0.073743771,-0.102479972
727,0.12774722,0.033351026,0.069328343,-0.095061679
728,0.130170994,0.038107031,0.062902867,-0.087650037
729,0.132401105,0.041963909,0.053560598,-0.080703468
730,0.134491632,0.045014074,0.041837524,-0.074254042
731,0.136438791,0.04718115,0.027645275,-0.068524835
732,0.138494709,0.048515913,0.010663171,-0.06368996
733,0.140538136,0.049077151,-0.008475641,-0.059666814
734,0.142501223,0.049530877,-0.027486169,-0.055453315
735,0.144422615,0.050681905,-0.04353353,-0.049851555
736,0.146147242,0.052134921,-0.057530335,-0.04342743
